text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
2087,24921,2 quà khuyến_mãi món . đầu xe 3 bánh bọ sắt gắn 2 bánh_xe . lèo xếp bệnh_viện ghi 60 món hét mấy miếng to . quà khuyến_mãi như đánh_đố . không tâm quà,0,-1,0,0,0,0
2088,24918,gói bỉm cũ bạc_màu loại mẫu_mã . gói bỉm rách . không hài_lòng,0,0,-1,-1,0,0
2090,24915,giao hàng dự_kiến . hàng tốt . hãng . cám_ơn tiki kì hài_lòng,0,0,0,1,1,1
2092,24913,"sữa uống tốt , chiều cân . tiêu_hoá bé tốt kì hài_lòng",0,0,0,1,0,0
2094,24911,"mua 2 r , bé êm , cáo dễ_thương kì hài_lòng",0,1,0,1,0,0
2096,24908,"bé 8 kí mặc vô lằn đỏ hai hông , bỉm nhỏ_bé mặc không thoải_mái hài_lòng",0,0,0,-1,0,0
2099,24902,"đóng_gói cẩn_thận , hàng tốt ! kì hài_lòng",0,0,0,1,1,0
2100,24900,"tã mỏng tã mua , mùi thơm hơi tã mua không mùi , cảm_giác tã mua an_toàn dễ_chịu tã tiki .",0,0,0,-1,0,0
2101,24899,"bé tã bobby , thun co_giãn tốt , chống hăm . tiki giảm_giá quà . gói tiki now giao hàng cực_kỳ . ! phẩm tốt , quà đẹp , giá tốt",1,1,1,1,1,0
2102,24896,"sp tốt mua tiki , ủng_hộ tiki kì hài_lòng",0,0,0,1,0,0
2103,24895,tiki đóng_gói gọn combo 3 gói ; giá hài_lòng kì hài_lòng,1,0,0,0,1,0
2104,24894,"huggies chẳng lăng đi mẫu tã . tã huggie mẫu thiết_kế lưng thun 4 chiều cực . bé không bì hằn đỏ , mềm_mại ôm sát bụng . giúp bé thỏa_mái vận_động không sợ đau rát tràn . đùi êm nha , 5 * đệm mây ! vận_chuyển , thanks hài_lòng",0,0,0,1,1,0
2105,24892,"mua bé , giá_cả , đóng_gói cẩn_thận , giao hàng ,",1,0,0,0,1,0
2106,24891,"bỉm thấm hút kém . tràn . mặc loại bỉm không . mặc bỉm bobby y_như ràng tràn dính quần , mặc_dù bỉm chưa vần tràn . mặc ị tràn r . bực . tiếc tiền kinh_khủng . không hài_lòng",0,0,0,-1,0,0
